CIIU4,Nombre de establecimiento
Almacenamiento y depósito,"['CONTOPSA TERMINAL SAN ANTONIO' 'SERVICIOS GEOSERVICE LTDA'
 'FRIOFORT BUIN']"
Aserrado y acepilladura de madera,"['PLANTA VIÑALES' 'HIJUELA 1 KM 43 CAMINO A SANTA JUANA'
 'MOLDURAS E INSUMOS LTDA']"
"Captación, tratamiento y distribución de agua","['PLANTA DESALINIZADORA' 'PLANTA DESALADORA MANTOVERDE'
 'COOP SERV ABAST DISTR AGUA POT ALCAN SANEAM AMBIENT STA MARGARITA LTDA'
 'PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS DE SAN JOSÉ DE LA MARIQUINA'
 'SELAR' 'PLANTA DE TRATAMIENTO LAS HIGUERAS'
 'PRODUCCIÓN DE AGUA POTABLE, PANGUIPULLI.'
 'PLANTA DE TRATAMIENTO SANTA LUZ' 'RECINTO ESTANQUE'
 'PLANTA DE TRATAMIENTO SERVIDAS IZARRA AGUAS'
 'PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS HACIENDA BATUCO']"
Construcción de buques y estructuras flotantes,['REPARADOR TALCAHUANO']
Construcción de edificios para uso residencial,['CONDOMINIO TOROBAYO']
Cría de aves de corral,"['PABLO MASSOUD & CIA. LTDA.' 'SOPRAVAL SA' 'INCUBACIÓN LAS ARAÑAS'
 'INCUBADORA LO MIRANDA']"
Cría de cerdos,['MATADERO MIGUEL CORTES PENA E.I.R.L']
Cría de ganado bovino y búfalos,['DOLLINCO']
Cría de otros animales,['FRIGORIFICO SIMUNOVIC S.A.']
Cultivo de frutas de pepita y de hueso,['PLANTA EL NEVADO']
Cultivo de otras plantas perennes,['DIANA FOOD BUIN SPA']
Cultivo de uva vinífera y pisquera,['COOP.AGRIC.VITIV.DE CAUQUENES LTDA.']
Cultivo y crianza de peces marinos,"['PLANTA CAICAEN' 'GRANJAMAR SA' 'PLANTA DE PROCESO TOMÉ'
 'PISCICULTURA TOCOIHUE' 'PISCICULTURA CODINHUE'
 'PISCICULTURA ESTERO LLEUQUE' 'PISCICULTURA FIORDO AYSEN'
 'PISCICULTURA QUILLAICO' 'PISCICULTURA RIO NILTRE' 'ACUINOR S.A.' 'SRC'
 'SEALAND AQUACULTURE' 'PLANTA PRIMARIA CHACABUCO'
 'PLANTA TRATAMIENTO DE RILES (planta secundaria)'
 'PATAGONIA SALMON FARMING' 'SEAFOOD RESOURCES CHILE S.A. LAS CRUCES'
 'PPISCICULTURA PULLINQUE' 'PISCICULTURA CHARLEO'
 'PISCICULTURA SAN PATRICIO' 'PISCICULTURA LAS ARAUCARIAS'
 'CENTRO DE CULTIVO DE SALMONIDEOS TRAIGUEN']"
"Cultivo, reproducción y manejo de algas marinas","['EXTRACTOS NATURALES GELYMAR S.A.' 'ALGAS MARINAS LA CALERA'
 'ALGAMAR PLANTA ANCUD' 'DANISCO' 'RICO FOODS S.A' 'OSTIMAR TONGOY']"
Curtido y adobo de cueros; adobo y teñido de pieles,['CURTIEMBRE RUFINO MELERO S A' 'MANUFACTURA DE CUEROS DEL SUR']
Elaboración de aceites y grasas de origen vegetal y animal,['LOS GLACIARES' 'GOLDEN OMEGA']
Elaboración de almidones y productos derivados del almidón,['SOC PRODUCTORES DE SEMILLAS Y ALMIDONES PROSECOR LTDA']
Elaboración de azúcar,['PLANTA ÑUBLE - IANSAGRO' 'PLANTA LOS ÁNGELES - IANSAGRO']
Elaboración de bebidas malteadas y de malta,"['COMPAÑIA CERVECERA KUNSTMANN S.A.' 'CERVECERA CCU CHILE LTDA. (2)'
 'CERVECERA CCU CHILE LIMITADA' 'MALTEXCO TALAGANTE']"
Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas,['PLANTA TALCA' 'VITAL AGUAS']
"Elaboración de cacao, chocolate y de productos de confitería",['CHOCOLATERÍA ENTRELAGOS LTDA']
